                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0511,                 3.9279,                 4.4135,                0.00438,                      1,                0.00636,                0.00218,                 2.4846,                 3.7647,                 4.1587,                  6e-05,                  6e-05,                  6e-05
                      2,                  3.086,                 3.8291,                 4.2861,                0.00447,                      1,                0.00924,                0.00275,                 2.4844,                 3.7646,                 4.1581,             0.00013307,             0.00013307,             0.00013307
                      3,                 2.9255,                 3.7769,                 4.2211,                 0.0045,                      1,                0.00741,                0.00232,                 2.4835,                 3.7658,                 4.1573,             0.00019822,             0.00019822,             0.00019822
                      4,                 3.0115,                 3.6634,                 4.1982,                 0.0047,                      1,                0.10178,                0.01203,                 2.4823,                 3.7654,                 4.1561,             0.00025545,             0.00025545,             0.00025545
                      5,                 3.0751,                 3.5817,                  4.178,                0.00469,                      1,                0.10227,                0.01175,                 2.4811,                 3.7645,                 4.1556,             0.00030476,             0.00030476,             0.00030476
                      6,                 3.0232,                 3.4321,                 4.1493,                0.00462,                      1,                0.05438,                0.00689,                 2.4797,                 3.7641,                 4.1559,             0.00034615,             0.00034615,             0.00034615
                      7,                 3.0678,                 3.4637,                 4.1212,                0.00452,                      1,                0.01545,                0.00314,                 2.4781,                 3.7614,                 4.1567,             0.00037962,             0.00037962,             0.00037962
                      8,                 2.9619,                  3.494,                 4.1095,                0.00444,                      1,                0.01238,                0.00292,                 2.4757,                 3.7582,                 4.1583,             0.00040517,             0.00040517,             0.00040517
                      9,                 2.9441,                   3.32,                  4.029,                0.00441,                      1,                0.01328,                0.00299,                 2.4727,                 3.7559,                 4.1616,              0.0004228,              0.0004228,              0.0004228
                     10,                 2.9756,                 3.3394,                 4.0031,                0.00441,                      1,                0.00744,                0.00234,                 2.4694,                 3.7461,                 4.1676,             0.00043251,             0.00043251,             0.00043251
                     11,                 2.5337,                 3.9607,                  3.871,                0.00435,                      1,                0.00995,                0.00285,                 2.4678,                 3.7307,                 4.1799,              0.0004343,              0.0004343,              0.0004343
                     12,                 2.5093,                 3.7803,                 3.7968,                0.00434,                      1,                0.05389,                0.01167,                 2.4668,                 3.6917,                 4.1927,             0.00042817,             0.00042817,             0.00042817
                     13,                 2.2782,                 3.4662,                 3.7006,                0.00438,                      1,                0.03926,                0.00882,                 2.4668,                 3.6617,                 4.2091,             0.00041412,             0.00041412,             0.00041412
                     14,                 2.3817,                 3.5839,                 3.6336,                 0.0044,                      1,                0.01567,                 0.0042,                 2.4668,                 3.6588,                 4.2214,             0.00039215,             0.00039215,             0.00039215
                     15,                 2.2151,                 3.3668,                 3.5582,                0.00456,                      1,                0.01699,                0.00469,                 2.4669,                 3.6662,                 4.2432,             0.00036226,             0.00036226,             0.00036226
                     16,                 2.3295,                 3.6345,                 3.6084,                0.00464,                      1,                0.01685,                0.00397,                 2.4673,                 3.6741,                 4.2571,             0.00032445,             0.00032445,             0.00032445
                     17,                 2.4424,                 3.3426,                  3.607,                0.00467,                      1,                0.01698,                0.00396,                 2.4675,                 3.6867,                 4.2668,             0.00027872,             0.00027872,             0.00027872
                     18,                 2.4042,                 3.4477,                  3.565,                0.00469,                      1,                0.00981,                0.00327,                 2.4657,                 3.7098,                 4.2635,             0.00022507,             0.00022507,             0.00022507
                     19,                 2.3661,                 3.3261,                 3.5235,                0.00469,                      1,                0.01025,                0.00338,                  2.464,                  3.714,                 4.2554,              0.0001635,              0.0001635,              0.0001635
                     20,                 2.3003,                 3.1941,                 3.4486,                0.00471,                      1,                0.01053,                0.00348,                 2.4629,                 3.7137,                 4.2516,              9.401e-05,              9.401e-05,              9.401e-05
